ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRLINE,DISTANCE,ARRIVAL_DELAY,DAY_OF_WEEK,SCHEDULED_DEPARTURE
PHX,DFW,NK,868.0,1.0,4,159
PHX,DFW,AA,868.0,0.0,4,200
ANC,PDX,AS,1542.0,-11.0,4,200
IAG,FLL,NK,1176.0,-11.0,4,200
SJU,EWR,B6,1608.0,4.0,4,206
PHX,CLT,US,1773.0,-36.0,4,220
ANC,SEA,AS,1448.0,-12.0,4,220
PSE,MCO,B6,1179.0,-9.0,4,255
BQN,EWR,UA,1585.0,6.0,4,259
BQN,MCO,B6,1129.0,20.0,4,307
SJU,BOS,B6,1674.0,-16.0,4,330
SJU,MCO,B6,1189.0,85.0,4,400
BQN,MCO,B6,1129.0,-7.0,4,419
PSE,MCO,B6,1179.0,-1.0,4,424
SJU,BDL,B6,1666.0,89.0,4,438
ORD,PHX,US,1440.0,3.0,4,500
GEG,SEA,AS,224.0,0.0,4,500
HNL,ITO,HA,216.0,-6.0,4,500
ONT,SFO,OO,363.0,9.0,4,500
HNL,KOA,HA,163.0,5.0,4,502
ANC,SEA,AS,1448.0,-14.0,4,505
HNL,OGG,HA,100.0,-11.0,4,505
ORD,IAH,UA,925.0,11.0,4,510
MCO,MIA,AA,192.0,-11.0,4,510
BOS,MYR,NK,738.0,-10.0,4,510
HIB,MSP,OO,174.0,0.0,4,510
ABR,MSP,OO,257.0,-4.0,4,510
MAF,IAH,OO,429.0,0.0,4,510
SEA,PHX,US,1107.0,-2.0,4,515
DFW,MIA,AA,1121.0,102.0,4,515
BOS,MIA,AA,1258.0,2.0,4,515
MKE,IAH,EV,984.0,13.0,4,515
PDX,PHX,US,1009.0,60.0,4,520
IAH,MIA,AA,964.0,54.0,4,520
BNA,DTW,DL,456.0,-6.0,4,520
BRO,IAH,EV,308.0,-5.0,4,520
VPS,ATL,EV,250.0,-15.0,4,520
BOI,SFO,OO,522.0,3.0,4,520
BJI,MSP,OO,199.0,9.0,4,520
HNL,LIH,HA,102.0,-12.0,4,523
BNA,ATL,EV,214.0,5.0,4,525
SGF,DFW,MQ,364.0,0.0,4,525
PHL,IAH,UA,1325.0,6.0,4,530
PDX,DEN,UA,991.0,4.0,4,530
SEA,DEN,UA,1024.0,-1.0,4,530
DEN,DFW,AA,641.0,66.0,4,530
SBN,ORD,EV,84.0,-14.0,4,530
PHL,MCO,F9,861.0,-18.0,4,530
ORD,FLL,NK,1182.0,-25.0,4,530
RDD,SFO,OO,199.0,0.0,4,530
EUG,DEN,OO,996.0,13.0,4,530
SFO,DEN,UA,967.0,26.0,4,531
ORD,DEN,UA,888.0,3.0,4,533
IAD,IAH,UA,1190.0,14.0,4,535
BUF,JFK,B6,301.0,-15.0,4,535
PWM,JFK,B6,273.0,-25.0,4,535
JFK,SJU,B6,1598.0,19.0,4,535
CRP,IAH,EV,201.0,-21.0,4,535
PIA,DTW,EV,346.0,-18.0,4,535
ORD,DTW,EV,235.0,-3.0,4,535
FAT,LAX,OO,209.0,0.0,4,535
SMF,DEN,UA,909.0,78.0,4,538
AUS,LAX,OO,1242.0,-16.0,4,538
BOS,BWI,B6,369.0,-21.0,4,540
ORD,BOS,B6,867.0,-33.0,4,540
PHX,DTW,DL,1671.0,128.0,4,540
MCI,ATL,DL,692.0,-15.0,4,540
BOS,DTW,DL,632.0,-21.0,4,540
ATL,IAD,EV,534.0,14.0,4,540
JAX,EWR,EV,820.0,-14.0,4,540
MFR,DEN,OO,964.0,25.0,4,540
SLC,IAH,OO,1195.0,-16.0,4,540
IDA,DEN,OO,458.0,7.0,4,541
MSN,DEN,F9,826.0,-11.0,4,544
MKE,DTW,OO,237.0,-21.0,4,545
GEG,DEN,UA,836.0,-6.0,4,545
SEA,IAH,UA,1874.0,11.0,4,545
DCA,IAH,UA,1208.0,-7.0,4,545
SAT,DFW,AA,247.0,-12.0,4,545
JFK,MIA,AA,1089.0,69.0,4,545
BOS,PBI,B6,1197.0,-9.0,4,545
BOS,JFK,B6,187.0,-13.0,4,545
JFK,BQN,B6,1576.0,-19.0,4,545
DFW,ATL,DL,731.0,-2.0,4,545
CHS,EWR,EV,628.0,1.0,4,545
MKE,DEN,F9,896.0,17.0,4,545
MSP,DEN,F9,680.0,-8.0,4,545
CHS,DFW,MQ,987.0,0.0,4,545
DEN,LAX,OO,862.0,56.0,4,545
SBA,DEN,OO,916.0,10.0,4,545
SMX,LAX,OO,134.0,0.0,4,545
HNL,KOA,HA,163.0,-6.0,4,548
BOS,BUF,B6,395.0,-6.0,4,549
PDX,EWR,UA,2434.0,-35.0,4,550
IND,PHX,US,1488.0,4.0,4,550
LAX,DEN,UA,862.0,-9.0,4,550
CLE,IAH,UA,1091.0,43.0,4,550
BOS,EWR,UA,200.0,-19.0,4,550
DEN,PHX,US,602.0,-10.0,4,550
MCI,PHX,US,1044.0,-5.0,4,550
AUS,DFW,AA,190.0,-1.0,4,550
LAX,DFW,AA,1235.0,2.0,4,550
GSP,ATL,DL,153.0,0.0,4,550
MCO,EWR,B6,937.0,-7.0,4,550
MCI,IAH,EV,643.0,1.0,4,550
BDL,IAD,EV,326.0,-19.0,4,550
ABI,DFW,MQ,158.0,0.0,4,550
RIC,IAH,EV,1157.0,13.0,4,550
BFL,DEN,OO,845.0,20.0,4,550
SAT,SFO,OO,1482.0,-19.0,4,550
OMA,IAH,OO,781.0,21.0,4,550
RDM,DEN,OO,898.0,6.0,4,550
FLL,BDL,B6,1173.0,9.0,4,553
CID,ATL,EV,694.0,-17.0,4,554
SFO,DEN,WN,967.0,-2.0,4,555
MCO,LAX,UA,2218.0,4.0,4,555
TPA,EWR,UA,997.0,-13.0,4,555
SEA,DFW,AA,1660.0,16.0,4,555
BOS,DFW,AA,1562.0,-10.0,4,555
SYR,JFK,B6,209.0,-13.0,4,555
ROC,JFK,B6,264.0,-17.0,4,555
TYR,DFW,EV,102.0,-9.0,4,555
MCI,ORD,EV,403.0,-12.0,4,555
LAN,ORD,EV,179.0,6.0,4,555
BUF,EWR,EV,282.0,226.0,4,555
XNA,DFW,MQ,280.0,0.0,4,555
GSO,EWR,EV,445.0,-22.0,4,556
ORD,LGA,NK,733.0,27.0,4,556
LAX,IAH,UA,1379.0,-16.0,4,557
EWR,MIA,AA,1085.0,-13.0,4,559
ONT,DEN,OO,819.0,116.0,4,559
MSP,DEN,UA,680.0,-23.0,4,600
PBI,IAH,UA,956.0,-3.0,4,600
PHX,IAH,UA,1009.0,123.0,4,600
RSW,IAH,UA,861.0,-1.0,4,600
EWR,MCO,UA,937.0,-18.0,4,600
OMA,ORD,UA,416.0,-6.0,4,600
SMF,PHX,US,647.0,12.0,4,600
OAK,PHX,US,646.0,8.0,4,600
PVD,CLT,US,683.0,-14.0,4,600
RNO,DEN,UA,804.0,14.0,4,600
PIT,IAH,UA,1117.0,24.0,4,600
DEN,IAH,UA,862.0,-4.0,4,600
BOS,BWI,WN,369.0,-26.0,4,600
LAS,BWI,WN,2106.0,-25.0,4,600
ABQ,HOU,WN,759.0,22.0,4,600
PHX,SLC,WN,507.0,-6.0,4,600
PIT,FLL,WN,994.0,-26.0,4,600
PVD,BWI,WN,327.0,-13.0,4,600
SFO,ATL,WN,2139.0,-16.0,4,600
SFO,ORD,UA,1846.0,-4.0,4,600
MCO,EWR,UA,937.0,-18.0,4,600
PDX,IAH,UA,1825.0,11.0,4,600
BOS,ORD,UA,867.0,-11.0,4,600
SFO,LAX,UA,337.0,-11.0,4,600
SAT,LAX,UA,1211.0,-3.0,4,600
BOS,LAX,UA,2611.0,-5.0,4,600
SEA,EWR,UA,2402.0,-14.0,4,600
LAX,ORD,UA,1744.0,-16.0,4,600
IAH,PHX,US,1009.0,-4.0,4,600
MCO,PHX,US,1849.0,10.0,4,600
SFO,PHX,US,651.0,3.0,4,600
DFW,MCO,AA,985.0,3.0,4,600
MIA,PHL,AA,1013.0,14.0,4,600
SLC,DFW,AA,989.0,12.0,4,600
DCA,DFW,AA,1192.0,0.0,4,600
MIA,DFW,AA,1121.0,-1.0,4,600
BWI,MIA,AA,946.0,31.0,4,600
DFW,LGA,AA,1389.0,-5.0,4,600
LGA,DFW,AA,1389.0,0.0,4,600
DEN,ORD,AA,888.0,-27.0,4,600
MCI,DFW,AA,460.0,3.0,4,600
MCO,DFW,AA,985.0,0.0,4,600
SFO,DFW,AA,1464.0,0.0,4,600
TUL,DFW,AA,237.0,-11.0,4,600
LGA,MIA,AA,1096.0,50.0,4,600
LIT,DFW,AA,304.0,-10.0,4,600
MIA,LGA,AA,1096.0,-9.0,4,600
LAS,DFW,AA,1055.0,7.0,4,600
PDX,DFW,AA,1616.0,-3.0,4,600
TPA,DFW,AA,929.0,-20.0,4,600
SMF,DFW,AA,1431.0,31.0,4,600
MSY,MIA,AA,675.0,-13.0,4,600
LAX,ORD,AA,1744.0,-26.0,4,600
OMA,DFW,AA,583.0,5.0,4,600
OKC,DFW,AA,175.0,30.0,4,600
SEA,ANC,AS,1448.0,-13.0,4,600
FAI,ANC,AS,261.0,-9.0,4,600
SEA,SJC,AS,697.0,-9.0,4,600
SEA,OAK,AS,671.0,-16.0,4,600
PDX,SJC,AS,569.0,-13.0,4,600
LAX,SEA,AS,954.0,-9.0,4,600
PHX,SEA,AS,1107.0,-12.0,4,600
DEN,SEA,AS,1024.0,-34.0,4,600
GEG,SEA,AS,224.0,3.0,4,600
RSW,JFK,B6,1074.0,-2.0,4,600
PBI,JFK,B6,1028.0,9.0,4,600
JFK,PBI,B6,1028.0,-22.0,4,600
TPA,JFK,B6,1005.0,-5.0,4,600
FLL,LGA,B6,1076.0,2.0,4,600
OAK,LGB,B6,353.0,-10.0,4,600
LGA,FLL,B6,1076.0,-6.0,4,600
JFK,MCO,B6,944.0,-19.0,4,600
EWR,FLL,B6,1065.0,-21.0,4,600
JFK,TPA,B6,1005.0,-1.0,4,600
PSE,JFK,B6,1617.0,-5.0,4,600
MSY,JFK,B6,1182.0,-18.0,4,600
AUS,JFK,B6,1521.0,-10.0,4,600
BQN,JFK,B6,1576.0,15.0,4,600
TPA,BOS,B6,1185.0,-12.0,4,600
JAX,JFK,B6,828.0,8.0,4,600
DCA,BOS,B6,399.0,1.0,4,600
JFK,ATL,DL,760.0,-19.0,4,600
LGA,DTW,DL,502.0,-1.0,4,600
RNO,SLC,DL,422.0,18.0,4,600
BOS,JFK,DL,187.0,-8.0,4,600
BOS,MSP,DL,1124.0,2.0,4,600
LGA,ATL,DL,762.0,-32.0,4,600
ORD,ATL,DL,606.0,-21.0,4,600
ANC,MSP,DL,2519.0,-40.0,4,600
ATW,ATL,DL,765.0,-32.0,4,600
PHX,ATL,DL,1587.0,107.0,4,600
PNS,ATL,DL,271.0,-20.0,4,600
MCO,SLC,DL,1931.0,-10.0,4,600
ONT,DFW,AA,1188.0,0.0,4,600
DCA,MIA,AA,919.0,-1.0,4,600
RIC,ATL,DL,481.0,-28.0,4,600
LAX,ATL,DL,1947.0,-20.0,4,600
BOS,ATL,DL,946.0,-22.0,4,600
LAS,DTW,DL,1749.0,-22.0,4,600
OKC,ATL,DL,761.0,-3.0,4,600
MCO,MSP,DL,1310.0,-7.0,4,600
MEM,ATL,DL,332.0,-6.0,4,600
TUL,ATL,DL,674.0,-24.0,4,600
BWI,DTW,DL,409.0,-19.0,4,600
BOS,PHL,B6,280.0,-21.0,4,600
MCO,LGA,B6,950.0,2.0,4,600
FLL,JFK,B6,1069.0,17.0,4,600
SJU,JFK,B6,1598.0,59.0,4,600
BOS,DCA,B6,399.0,-23.0,4,600
TYS,DFW,EV,772.0,10.0,4,600
MHT,ORD,EV,843.0,-4.0,4,600
SAV,EWR,EV,708.0,85.0,4,600
MEM,EWR,EV,946.0,-20.0,4,600
CLT,ORD,EV,599.0,18.0,4,600
TYS,IAD,EV,419.0,-2.0,4,600
GRB,ORD,EV,173.0,-10.0,4,600
ABE,DTW,EV,425.0,-20.0,4,600
JAN,ATL,EV,341.0,-10.0,4,600
OAJ,ATL,EV,399.0,-3.0,4,600
FAR,ORD,EV,557.0,0.0,4,600
JAN,ORD,EV,677.0,-19.0,4,600
ERI,ORD,EV,398.0,19.0,4,600
ATW,ORD,EV,160.0,0.0,4,600
LEX,ORD,EV,323.0,-11.0,4,600
CWA,ORD,EV,212.0,-3.0,4,600
MSO,DEN,F9,679.0,0.0,4,600
ORD,MIA,F9,1197.0,0.0,4,600
CLE,FLL,F9,1062.0,-22.0,4,600
IAH,SFO,F9,1635.0,-6.0,4,600
SEA,DEN,F9,1024.0,0.0,4,600
SFO,IAH,F9,1635.0,1.0,4,600
TTN,ATL,F9,701.0,-11.0,4,600
ATL,TTN,F9,701.0,24.0,4,600
HNL,ITO,HA,216.0,-4.0,4,600
MAF,DFW,MQ,309.0,0.0,4,600
AMA,DFW,MQ,312.0,0.0,4,600
CLL,DFW,MQ,164.0,0.0,4,600
HOU,DFW,MQ,247.0,0.0,4,600
DFW,BTR,MQ,383.0,0.0,4,600
JLN,DFW,MQ,327.0,0.0,4,600
CID,DFW,MQ,685.0,0.0,4,600
MLI,DFW,MQ,691.0,0.0,4,600
GSP,DFW,MQ,862.0,0.0,4,600
RDU,JFK,MQ,427.0,3.0,4,600
CVG,MIA,MQ,948.0,-7.0,4,600
MHK,DFW,MQ,431.0,0.0,4,600
MOB,DFW,MQ,539.0,0.0,4,600
TLH,DFW,MQ,767.0,0.0,4,600
PNS,MIA,MQ,530.0,-12.0,4,600
BHM,MIA,MQ,661.0,-5.0,4,600
CVG,DFW,MQ,812.0,0.0,4,600
CAE,DFW,MQ,922.0,0.0,4,600
TXK,DFW,MQ,181.0,0.0,4,600
OAK,LAS,NK,407.0,-8.0,4,600
DFW,OAK,NK,1457.0,-29.0,4,600
ACY,RSW,NK,982.0,86.0,4,600
DTW,LGA,NK,502.0,58.0,4,600
DFW,FLL,NK,1119.0,35.0,4,600
SMF,LAX,OO,373.0,-2.0,4,600
RAP,DEN,OO,300.0,8.0,4,600
TUS,SFO,OO,751.0,6.0,4,600
EAU,ORD,OO,268.0,-29.0,4,600
DLH,ORD,OO,397.0,-4.0,4,600
FSD,ORD,OO,462.0,2.0,4,600
AUS,SFO,OO,1504.0,-16.0,4,600
FAT,SEA,OO,748.0,3.0,4,600
ONT,PDX,OO,838.0,-19.0,4,600
INL,BRD,OO,153.0,-3.0,4,600
CMX,ORD,OO,359.0,0.0,4,600
SMF,SFO,OO,86.0,0.0,4,600
BOI,LAX,OO,674.0,30.0,4,600
SPI,ORD,OO,174.0,5.0,4,600
CLD,LAX,OO,86.0,88.0,4,600
COD,DEN,OO,391.0,-1.0,4,600
FAT,SFO,OO,158.0,7.0,4,600
CMH,MIA,MQ,990.0,-11.0,4,600
LRD,DFW,MQ,396.0,0.0,4,600
PSC,DEN,OO,852.0,4.0,4,600
CPR,DEN,OO,230.0,9.0,4,600
ACV,SFO,OO,250.0,10.0,4,600
DAL,IAH,OO,216.0,12.0,4,600
PAH,ORD,OO,342.0,-23.0,4,600
PSC,SFO,OO,620.0,-1.0,4,600
CID,ORD,OO,196.0,-1.0,4,600
EUG,SFO,OO,451.0,-7.0,4,600
DFW,DEN,OO,641.0,9.0,4,600
MRY,SFO,OO,77.0,-12.0,4,600
SLC,LAX,OO,590.0,-6.0,4,600
ESC,DTW,OO,306.0,-21.0,4,600
MFR,SFO,OO,329.0,-6.0,4,600
FAT,DEN,OO,844.0,33.0,4,600
SFO,EWR,UA,2565.0,-23.0,4,601
LAS,IAH,UA,1222.0,-7.0,4,601
EWR,SFO,UA,2565.0,-20.0,4,601
ISN,DEN,EV,576.0,-9.0,4,601
HNL,LIH,HA,102.0,-2.0,4,601
PSP,SFO,OO,421.0,17.0,4,601
PSP,DEN,OO,776.0,144.0,4,601
SAT,IAH,UA,191.0,0.0,4,602
LAX,EWR,UA,2454.0,-32.0,4,603
LAX,SFO,UA,337.0,-14.0,4,603
CLE,IAD,EV,288.0,-1.0,4,603
CAE,IAD,EV,401.0,7.0,4,603
PHX,DEN,F9,602.0,4.0,4,603
SMF,IAH,UA,1609.0,19.0,4,605
JFK,SFO,UA,2586.0,-4.0,4,605
BOS,PHX,US,2300.0,13.0,4,605
BOS,CLT,US,728.0,-3.0,4,605
DTW,MIA,US,1145.0,-26.0,4,605
FLL,EWR,UA,1065.0,-10.0,4,605
GEG,DEN,WN,836.0,-9.0,4,605
SAT,STL,WN,786.0,-22.0,4,605
ONT,DEN,WN,819.0,0.0,4,605
CLE,EWR,UA,404.0,-21.0,4,605
DFW,PHX,US,868.0,8.0,4,605
MFE,DFW,AA,469.0,0.0,4,605
STL,DFW,AA,550.0,-17.0,4,605
SJU,MIA,AA,1045.0,11.0,4,605
MKE,DFW,AA,853.0,-11.0,4,605
SEA,SFO,AS,679.0,-3.0,4,605
SEA,LAS,AS,867.0,0.0,4,605
BTV,JFK,B6,266.0,-16.0,4,605
JFK,FLL,B6,1069.0,-2.0,4,605
SFO,LGB,B6,354.0,-14.0,4,605
PBI,BOS,B6,1197.0,28.0,4,605
MCO,JFK,B6,944.0,10.0,4,605
SJU,MCO,B6,1189.0,88.0,4,605
BDL,ATL,DL,859.0,-26.0,4,605
RDU,ATL,DL,356.0,39.0,4,605
SFO,SLC,DL,599.0,-2.0,4,605
TUS,IAH,EV,936.0,19.0,4,605
PIA,ATL,EV,565.0,-24.0,4,605
IND,DEN,F9,977.0,-19.0,4,605
MCI,DEN,F9,533.0,6.0,4,605
DFW,DEN,F9,641.0,52.0,4,605
FSM,DFW,MQ,227.0,0.0,4,605
AEX,DFW,MQ,285.0,0.0,4,605
SPS,DFW,MQ,113.0,0.0,4,605
ACT,DFW,MQ,89.0,0.0,4,605
SJT,DFW,MQ,229.0,0.0,4,605
JAN,DFW,MQ,408.0,0.0,4,605
HNL,OGG,HA,100.0,-1.0,4,605
OKC,LAX,OO,1187.0,9.0,4,605
FAR,DEN,OO,627.0,-3.0,4,605
SFO,IAH,UA,1635.0,-2.0,4,606
EWR,FLL,UA,1065.0,-37.0,4,606
MTJ,DEN,OO,196.0,2.0,4,606
RSW,DTW,NK,1084.0,7.0,4,607
GCC,RKS,OO,261.0,-9.0,4,607
MSY,EWR,UA,1167.0,-14.0,4,608
ORD,MCO,UA,1005.0,-21.0,4,608
RIC,ORD,EV,642.0,4.0,4,608
RDM,SFO,OO,462.0,-23.0,4,608
OGG,HNL,HA,100.0,-4.0,4,609
SJC,SLC,OO,584.0,12.0,4,609
ORD,MBS,OO,222.0,-13.0,4,610
EWR,CLT,US,529.0,15.0,4,610
PHX,BWI,WN,1999.0,-24.0,4,610
SEA,IAD,UA,2306.0,-29.0,4,610
LAS,SFO,UA,414.0,-20.0,4,610
DFW,MIA,AA,1121.0,-18.0,4,610
BNA,DFW,AA,631.0,0.0,4,610
PHX,DFW,AA,868.0,-6.0,4,610
BOS,MIA,AA,1258.0,-17.0,4,610
LAX,STL,AA,1592.0,-11.0,4,610
OAK,SEA,AS,671.0,-8.0,4,610
SEA,LAX,AS,954.0,-4.0,4,610
BOS,IAD,B6,413.0,-24.0,4,610
LAX,JFK,B6,2475.0,-11.0,4,610
DCA,FLL,B6,899.0,-14.0,4,610
DTW,BOS,B6,632.0,-35.0,4,610
BNA,LAX,AA,1797.0,-8.0,4,610
PHL,ATL,DL,666.0,-31.0,4,610
PHX,MSP,DL,1276.0,93.0,4,610
SJU,FLL,B6,1046.0,19.0,4,610
VPS,IAH,EV,528.0,-3.0,4,610
GUC,DEN,EV,152.0,12.0,4,610
MIA,LGA,F9,1096.0,40.0,4,610
RIC,MIA,MQ,825.0,-15.0,4,610
DTW,LGA,MQ,502.0,-25.0,4,610
ORF,MIA,MQ,802.0,-4.0,4,610
MOT,DEN,OO,604.0,-29.0,4,610
STL,MIA,AA,1068.0,-28.0,4,611
BOS,FLL,B6,1237.0,-20.0,4,611
MLU,IAH,EV,262.0,28.0,4,612
MAF,DEN,OO,563.0,0.0,4,612
LAX,LAS,NK,236.0,-9.0,4,613
PDX,ORD,UA,1739.0,-13.0,4,614
JFK,SJU,B6,1598.0,-23.0,4,614
KOA,HNL,HA,163.0,11.0,4,614
EUG,SLC,OO,618.0,-10.0,4,614
RNO,PHX,US,601.0,-5.0,4,615
PHX,CLT,US,1773.0,-7.0,4,615
CMH,ATL,WN,447.0,116.0,4,615
HOU,ATL,WN,696.0,-7.0,4,615
HOU,PHX,WN,1020.0,-4.0,4,615
DTW,DFW,AA,986.0,0.0,4,615
BOS,JFK,AA,187.0,-13.0,4,615
DFW,DCA,AA,1192.0,0.0,4,615
MSP,DFW,AA,852.0,-6.0,4,615
SEA,SNA,AS,978.0,-5.0,4,615
BDL,DCA,B6,313.0,-23.0,4,615
SJU,BOS,B6,1674.0,90.0,4,615
FLL,EWR,B6,1065.0,8.0,4,615
MOB,ATL,DL,302.0,-13.0,4,615
SAN,SLC,DL,626.0,-10.0,4,615
LAS,SLC,DL,368.0,-13.0,4,615
DCA,DTW,DL,405.0,3.0,4,615
SMF,SLC,DL,532.0,16.0,4,615
DEN,DTW,DL,1123.0,-44.0,4,615
SFO,ATL,DL,2139.0,-3.0,4,615
LGA,MSP,DL,1020.0,-4.0,4,615
LAW,DFW,EV,140.0,376.0,4,615
BRO,DFW,EV,482.0,-24.0,4,615
PIB,MEI,EV,69.0,-11.0,4,615
CHS,IAH,EV,925.0,36.0,4,615
MEM,IAH,EV,468.0,9.0,4,615
MGM,ATL,EV,147.0,-12.0,4,615
SLC,DEN,F9,391.0,14.0,4,615
OMA,DEN,F9,472.0,-12.0,4,615
FAR,DFW,MQ,968.0,0.0,4,615
DCA,JFK,MQ,213.0,161.0,4,615
MSN,DFW,MQ,821.0,0.0,4,615
CMH,LGA,MQ,479.0,-20.0,4,615
SBP,LAX,OO,156.0,-9.0,4,615
COS,IAH,OO,809.0,13.0,4,615
OAK,SLC,OO,588.0,-1.0,4,615
LAR,DEN,OO,113.0,11.0,4,615
SAN,LAX,OO,109.0,-5.0,4,615
BFL,SFO,OO,238.0,-10.0,4,615
DRO,PHX,OO,351.0,56.0,4,615
MRY,PHX,OO,598.0,-15.0,4,615
FAT,PHX,OO,493.0,10.0,4,615
MSP,ORD,NK,334.0,-19.0,4,616
DFW,ORD,NK,802.0,-17.0,4,616
BIS,DEN,OO,516.0,-9.0,4,617
ITO,HNL,HA,216.0,1.0,4,618
PBI,LGA,B6,1035.0,11.0,4,619
SAT,ORD,OO,1041.0,-3.0,4,619
FLL,IAH,UA,965.0,-5.0,4,620
BUF,CLT,US,546.0,4.0,4,620
SEA,ORD,UA,1721.0,-28.0,4,620
CMH,FLL,WN,973.0,-9.0,4,620
LAS,HOU,WN,1235.0,-2.0,4,620
PVD,MCO,WN,1072.0,-4.0,4,620
SAN,BWI,WN,2295.0,-23.0,4,620
SAN,MDW,WN,1728.0,-29.0,4,620
SMF,PHX,WN,647.0,-10.0,4,620
SAN,DEN,UA,853.0,-9.0,4,620
SAN,EWR,UA,2425.0,-42.0,4,620
SJC,PHX,US,621.0,-9.0,4,620
SJC,DFW,AA,1438.0,0.0,4,620
DFW,BOS,AA,1562.0,-5.0,4,620
SAN,DFW,AA,1171.0,-24.0,4,620
LAX,DFW,AA,1235.0,-1.0,4,620
ONT,SEA,AS,956.0,-10.0,4,620
RDU,MIA,AA,700.0,10.0,4,620
ROC,ATL,DL,749.0,-10.0,4,620
MCO,ATL,DL,404.0,-9.0,4,620
DCA,MSP,DL,931.0,6.0,4,620
CAE,IAH,EV,878.0,24.0,4,620
BTR,ATL,EV,448.0,-14.0,4,620
IAD,MSP,F9,908.0,-15.0,4,620
SAV,DFW,MQ,925.0,0.0,4,620
GRI,DFW,MQ,561.0,0.0,4,620
PDX,SAN,NK,933.0,-12.0,4,620
DFW,MSP,NK,852.0,-5.0,4,620
PSP,SLC,OO,541.0,9.0,4,620
ISN,MSP,OO,546.0,-7.0,4,620
HLN,DEN,OO,594.0,3.0,4,620
MCO,IAH,UA,854.0,20.0,4,621
BOS,RIC,B6,474.0,-11.0,4,621
BZN,DEN,F9,524.0,-12.0,4,622
FAT,SLC,OO,501.0,12.0,4,622
FSD,DEN,OO,483.0,-2.0,4,622
IAH,ORD,NK,925.0,-15.0,4,623
EWR,IAH,UA,1400.0,-3.0,4,624
PIT,DTW,DL,201.0,-31.0,4,624
FLL,CLT,US,631.0,-10.0,4,625
MIA,EWR,UA,1085.0,3.0,4,625
DEN,ATL,WN,1199.0,-19.0,4,625
MDW,PHX,WN,1444.0,11.0,4,625
LAX,PHL,US,2402.0,-17.0,4,625
IAD,DFW,AA,1172.0,17.0,4,625
LAX,AUS,AA,1242.0,0.0,4,625
CLT,DFW,AA,936.0,7.0,4,625
PHL,DFW,AA,1303.0,167.0,4,625
DFW,CLT,AA,936.0,-18.0,4,625
ATL,DFW,AA,731.0,0.0,4,625
RDU,DFW,AA,1061.0,5.0,4,625
SAT,DFW,AA,247.0,-22.0,4,625
FAI,SEA,AS,1533.0,4.0,4,625
FLL,BOS,B6,1237.0,5.0,4,625
RSW,BOS,B6,1249.0,3.0,4,625
MIA,ATL,DL,594.0,-19.0,4,625
BWI,MSP,DL,936.0,36.0,4,625
MDT,ATL,DL,620.0,-35.0,4,625
EWR,BOS,B6,200.0,-11.0,4,625
SCE,DTW,EV,301.0,-25.0,4,625
GEG,DEN,F9,836.0,-6.0,4,625
LEX,DFW,MQ,785.0,0.0,4,625
VPS,DFW,MQ,641.0,0.0,4,625
BWI,ORD,NK,622.0,4.0,4,625
SBA,PHX,OO,455.0,12.0,4,625
SBP,PHX,OO,509.0,-11.0,4,625
